Substrate(uM),WT,S264D,S266D,S264A,S266A,,,,,,,,,,
15.6,21.3115942,1.920289855,4.299516908,14.50483092,12.78502415,,,,,,,,,,
31.25,27.85024155,2.881642512,7.446859903,24.02415459,17.60144928,,,,,,,,,,
62.5,31.93961353,3.519323671,10.14975845,29.66425121,20.5821256,,,,,,,,,,
125,35.147343,4.456521739,14.89613527,32.79468599,22.54830918,,,,,,,,,,
250,39.20289855,5.014492754,18.95410628,38.29710145,24.48550725,,,,,,,,,,
500,40.30676329,5.524154589,21.0531401,44.04347826,26.28019324,,,,,,,,,,
,,,,,,,,,,,,,,,
